date,close,pct_change,main_net_inflow,main_net_inflow_pct,super_large_net,super_large_pct,large_net,large_pct,medium_net,medium_pct,small_net,small_pct,stock_code
2026-02-13,22.77,-2.61,-80745158.0,-9.56,-67957315.0,-8.04,-12787843.0,-1.51,45703800.0,5.41,35041360.0,4.15,601225
2025-08-20,9.68,0.1,36761114.0,7.96,33682219.0,7.29,3078895.0,0.67,-9207528.0,-1.99,-27553587.0,-5.96,601229
2025-08-21,9.69,0.1,37658257.0,8.27,23922365.0,5.25,13735892.0,3.01,-8560553.0,-1.88,-29097703.0,-6.39,601229
2025-08-22,9.61,-0.83,-94439687.0,-15.03,-89215187.0,-14.2,-5224500.0,-0.83,49902679.0,7.94,44537009.0,7.09,601229
2025-08-25,9.65,0.42,-18901842.0,-3.1,28984905.0,4.76,-47886747.0,-7.87,4620088.0,0.76,14281753.0,2.35,601229
2025-08-26,9.48,-1.76,-104558373.0,-13.66,-35602100.0,-4.65,-68956273.0,-9.01,102915700.0,13.44,1642670.0,0.21,601229
2025-08-27,9.3,-1.9,-158498013.0,-17.26,-61299636.0,-6.68,-97198377.0,-10.59,72993248.0,7.95,85504775.0,9.31,601229
2025-08-28,9.34,0.43,33817743.0,5.37,51717372.0,8.22,-17899629.0,-2.84,-21629267.0,-3.44,-12188475.0,-1.94,601229
2025-08-29,9.24,-1.07,-397987046.0,-24.23,-313267782.0,-19.07,-84719264.0,-5.16,245248080.0,14.93,152738972.0,9.3,601229
2025-09-01,9.18,-0.65,-345794732.0,-24.43,-300364204.0,-21.22,-45430528.0,-3.21,144331680.0,10.2,201463042.0,14.23,601229
2025-09-02,9.34,1.74,55228431.0,6.2,17848986.0,2.0,37379445.0,4.2,-27105184.0,-3.04,-28123255.0,-3.16,601229
2025-09-03,9.24,-1.07,54996248.0,8.15,55589856.0,8.24,-593608.0,-0.09,-18651117.0,-2.76,-36345131.0,-5.39,601229
2025-09-04,9.2,-0.43,29436680.0,3.71,43959299.0,5.54,-14522619.0,-1.83,-21834743.0,-2.75,-7601933.0,-0.96,601229
2025-09-05,9.1,-1.09,-29513655.0,-3.95,77482173.0,10.38,-106995828.0,-14.34,823956.0,0.11,28689699.0,3.84,601229
2025-09-08,9.04,-0.66,-35286755.0,-6.13,-22462917.0,-3.9,-12823838.0,-2.23,27442163.0,4.77,7844592.0,1.36,601229
2025-09-09,9.1,0.66,61417580.0,12.18,47726763.0,9.46,13690817.0,2.71,-39071442.0,-7.75,-22346139.0,-4.43,601229
2025-09-10,9.1,0.0,-29581595.0,-4.42,16741647.0,2.5,-46323242.0,-6.91,24427950.0,3.65,5153645.0,0.77,601229
2025-09-11,9.12,0.22,-23824708.0,-3.34,-37372363.0,-5.24,13547655.0,1.9,29713841.0,4.16,-5889133.0,-0.83,601229
2025-09-12,9.01,-1.21,-164690202.0,-19.2,-168922291.0,-19.69,4232089.0,0.49,108574031.0,12.66,56116172.0,6.54,601229
2025-09-15,8.97,-0.44,19329121.0,3.85,55667321.0,11.08,-36338200.0,-7.23,-3612554.0,-0.72,-15716568.0,-3.13,601229
2025-09-16,8.95,-0.22,2911853.0,0.58,13422409.0,2.66,-10510556.0,-2.08,5303821.0,1.05,-8215674.0,-1.63,601229
